craft_id,material_name,quantity
weapon_001,조악한 무기부품,3
weapon_001,무난한 무기부품,6
weapon_001,상급 목재,1
weapon_001,전문가의 도구,5
weapon_002,조악한 무기부품,3
weapon_002,무난한 무기부품,6
weapon_002,상급 목재,1
weapon_002,전문가의 도구,5
weapon_003,조악한 무기부품,3
weapon_003,무난한 무기부품,6
weapon_003,상급 목재,1
weapon_003,전문가의 도구,5
weapon_004,조악한 무기부품,3
weapon_004,고급 삼나무,3
weapon_004,숙련가의 도구,1
weapon_005,조악한 무기부품,2
weapon_005,고급 삼나무,3
weapon_005,숙련가의 도구,1
weapon_006,조악한 무기부품,2
weapon_006,무난한 무기부품,2
weapon_006,고급 삼나무,5
weapon_006,숙련가의 도구,5
weapon_007,조악한 무기부품,2
weapon_007,무난한 무기부품,2
weapon_007,고급 삼나무,5
weapon_007,숙련가의 도구,5
weapon_008,조악한 무기부품,4
weapon_008,무난한 무기부품,8
weapon_008,금 주괴,10
weapon_008,최상급 목재,1
weapon_008,달인의 도구,10
weapon_009,조악한 무기부품,2
weapon_009,무난한 무기부품,4
weapon_009,중급 목재,1
weapon_009,숙련가의 도구,5
weapon_010,조악한 무기부품,3
weapon_010,무난한 무기부품,6
weapon_010,상급 목재,1
weapon_010,전문가의 도구,5
weapon_011,조악한 무기부품,2
weapon_011,무난한 무기부품,3
weapon_011,중급 목재,1
weapon_011,숙련가의 도구,5
weapon_012,조악한 무기부품,3
weapon_012,고급 삼나무,2
weapon_012,숙련가의 도구,1
weapon_013,조악한 무기부품,4
weapon_013,은주괴,3
weapon_013,상급 목재,3
weapon_013,숙련가의 도구,10
etc_001,철주괴,5
etc_001,견습생의 도구,1
etc_002,철주괴,7
etc_002,동주괴,3
etc_002,견습생의 도구,1
etc_003,버려진 병뚜껑,10
etc_003,오래된 나사,30
etc_003,초심자의 도구,1
etc_004,찢어진 천조각,5
etc_004,초심자의 도구,1
etc_005,찢어진 천조각,3
etc_005,초심자의 도구,1
etc_006,찢어진 천조각,3
etc_006,견습생의 도구,1
etc_007,석탄,3
etc_007,저급 삼나무,5
etc_007,초심자의 도구,1
etc_008,석탄,2
etc_008,일반 삼나무,3
etc_008,초심자의 도구,1
etc_009,석탄,1
etc_009,고급 삼나무,2
etc_009,초심자의 도구,1
etc_010,배송 전표,5
etc_010,플로우 생수,1
etc_011,종이,3
etc_011,화약,1
etc_011,견습생의 도구,1
etc_012,고철,1
etc_012,저급 삼나무,1
etc_012,초심자의 도구,1
etc_013,철주괴,1
etc_013,견승생의 도구,1
etc_014,목탄,1
etc_014,유황,3
etc_014,초심자의 도구,1
etc_015,녹슨 탄피,20
etc_016,소형 탄피,3
etc_016,화약,1
etc_017,소형 탄피,3
etc_017,화약,1
etc_018,소형 탄피,5
etc_018,화약,1
etc_019,소형 탄피,5
etc_019,화약,1
