id,category,item_name,success_rate,craft_rank,obtain_place,note
weapon_001,SMG,미니 SMG,50,C,무법지대,
weapon_002,SMG,마이크로 SMG,50,C,무법지대,
weapon_003,SMG,SMG,50,C,무법지대,
weapon_004,PISTOL,컴뱃 피스톨,60,D,절도,
weapon_005,PISTOL,피스톨,60,D,절도,
weapon_006,PISTOL,헤비 피스톨,50,D,무법지대,
weapon_007,PISTOL,피스톨.50,50,D,무법지대,
weapon_008,REVOLVER,이단 산타의 리볼버,30,C,무법지대,
weapon_009,REVOLVER,헤비 리볼버,50,C,무법지대,
weapon_010,SMG,컴뱃 PDW,35,C,무법지대,
weapon_011,PISTOL,세라믹 피스톨,50,C,무법지대,
weapon_012,PISTOL,SNS 피스톨,60,D,무법지대,
weapon_013,KNIFE,나이프,40,D,무법지대,
etc_001,ETC,조악한 무기부품,50,E,-,
etc_002,ETC,무난한 무기부품,50,E,-,
etc_003,ETC,고철,75,연습,-,
etc_004,ETC,의료용 붕대,40,연습,-,
etc_005,ETC,기본 감정 키트(1),60,연습,-,
etc_006,ETC,기본 감정 키트(2),80,연습,-,
etc_007,ETC,캠프 파이어 키트(1),70,연습,-,
etc_008,ETC,캠프 파이어 키트(2),80,연습,-,
etc_009,ETC,캠프 파이어 키트(3),90,연습,-,
etc_010,ETC,종이,80,연습,-,
etc_011,ETC,폭죽 시리즈 I,60,F,-,
etc_012,ETC,볼품없는 락픽,50,F,-,
etc_013,ETC,낡은 락픽,60,E,-,
etc_014,ETC,화약,80,F,-,
etc_015,ETC,소형 탄피(20),80,E,-,
etc_016,ETC,9mm 탄약,80,E,-,
etc_017,ETC,.45 ACP 탄약,80,E,-,
etc_018,ETC,.50 AE 탄약,80,D,-,
etc_019,ETC,.44 매그넘 탄약,80,D,-,
