type,category,name,parts,option1,option2,option3,success_rate,note,order,recent_price,recent_date,price_note
접두,이동속도,홀가분한,"신발, 하의",이동 속도 증가 (0.5% ~ 3%),*최대 체력 증가 (-20 ~ -5),,65%,,1,1000,2026-08-22,영포티
접두,이동속도,민첩한,"신발, 겉옷/단독상의",이동 속도 증가 (0.5% ~ 3%),최대 스태미나 증가 (10 ~ 150),,55%,,2,,,
접두,이동속도,서두르는,"신발, 하의",이동 속도 증가 (0.5% ~ 3%),최대 스태미나 증가 (10 ~ 200),,55%,,3,,,
접두,이동속도,휴식한,"신발, 겉옷/단독상의",이동 속도 증가 (0.5% ~ 4%),최대 스태미나 증가 (10 ~ 150),,50%,,4,25000,2026-05-12,
접두,이동속도,상쾌한,"신발, 하의",이동 속도 증가 (0.5% ~ 4%),*최대 체력 증가 (-10 ~ -5),,60%,,5,,,
접두,이동속도,빠른,신발,이동 속도 증가 (0.5% ~ 1%),,,65%,,6,0,2026-05-19,
접두,이동속도,경쾌한,하의,이동 속도 증가 (1% ~ 4%),전력질주 스킬 경험치 증가 (1 ~ 2),,15%,,7,10000,2026-07-23,샹크스
접두,이동속도,날렵한,신발,이동 속도 증가 (0.5$ ~ 2%),,,55%,,8,1000,2026-05-25,
접두,이동속도,끈질긴,신발,이동 속도 증가 (0.5% ~ 3%),,,45%,,9,,,
접두,이동속도,잡기 힘든,하의,이동 속도 증가 (1% ~ 10%),최대 스태미나증가 (50 ~ 300),,25%,,10,150000,2026-08-22,영포티
접두,이동속도,숨가쁜,신발,이동 속도 증가 (1% ~ 6%),전력질주 스킬 경험치 증가 (1 ~ 2),,65%,,11,25000,2026-08-16,백민훈
접두,이동속도,활력있는,"신발, 겉옷/단독상의",이동 속도 증가 (0.5% ~ 6%),*최대 체력 증가 (-10 ~ -5),,65%,,12,30000,2026-08-04,영포티
접두,이동속도,쉼없는,신발,이동 속도 증가 (1% ~ 6%),*전력질주 스킬 경험치 증가 (-2 ~ -1),,35%,,13,30000,2026-05-24,
접두,이동속도,지치지 않는,신발,이동 속도 증가 (1% ~ 6%),,,25%,,14,31000,2026-08-22,영포티
접두,이동속도,활기찬,신발,이동 속도 증가 (0.5% ~ 4%),,,40%,,15,8000,2026-05-24,
접두,이동속도,신속한,"신발, 하의",이동 속도 증가 (0.5% ~ 4%),최대 스태미나 증가 (10 ~ 200),,50%,,16,30000,2026-07-14,영포티
접두,이동속도,기운찬,"신발, 겉옷/단독상의",이동 속도 증가 (1% ~ 6%),최대 체력 증가 (1 ~ 5),,35%,,17,100000,2026-07-14,구만집
접두,이동속도,가벼워진,"신발, 겉옷/단독상의",이동 속도 증가 (0.5% ~ 5%),최대 체력 증가 (1 ~ 5),,40%,,18,40000,2026-07-26,영포티
접미,이동속도,달리기의,상의,이동 속도 증가 (0.5% ~ 4%),전력질주 스태미나 감소 (1 ~5),,45%,,1,30000,2026-05-09,
접미,이동속도,속도의,하의,이동 속도 증가 (0.5 ~ 1.5%),,,65%,,2,,,
접미,이동속도,복서의,겉옷/단독상의,이동 속도 증가 (1% ~ 4%),전력질주 스킬 경험치 증가 (1 ~ 2),,20%,,3,35000,2026-05-13,
접미,이동속도,조거의,신발,이동 속도 증가 (1% ~ 4%),*전력질주 스킬 경험치 증가 (-2 ~ -1),,50%,,4,3000,2026-07-14,영포티
접미,이동속도,가속의,하의,이동 속도 증가 (0.5% ~ 2.5%),,,60%,,5,,,
