job,item_name,required_qty,reward_money,reward_xp,rank,note,order
채광,유황,10,120,400,연습,,1
채광,석탄A,15,40,120,연습,,2
채광,석탄B,60,198,528,연습,,3
채광,철광석A,15,90,195,연습,,4
채광,철광석B,40,264,572,연습,,5
채광,동광석,5,90,600,연습,,6
채광,은광석,2,140,740,C,,7
채광,금광석,1,250,500,C,,8
채광,반짝이는 보석,5,250,0,,상자,9
벌목,저급A,5,30,65,연습,,1
벌목,저급B,20,132,286,연습,,2
벌목,일반A,5,55,175,F,,3
벌목,일반B,10,121,385,F,,4
벌목,고급,3,105,495,C,,5
벌목,최고급,1,270,350,C,,6
할머니,삼나무 솔방울,5,250,,,보따리,1
할머니,평범한 잎사귀,5,60,80,,,2
할머니,네잎클로버,1,2000,3200,,,3
할머니,느타리 버섯,3,40,105,,,4
할머니,광대 버섯,4,40,140,,,5
할머니,큰갓 버섯,3,45,140,,,6
할머니,식물줄기,3,150,220,,,7
할머니,그물버섯,4,110,180,,,8
할머니,모렐버섯,3,120,240,,,9
할머니,달빛잎사귀,1,250,380,,,10
셰프,야생 블루베리,5,500,770,,,1
셰프,삼나무 베리,10,120,500,,,2
셰프,암염,3,155,420,,,3
셰프,산딸기,5,520,750,,,4
셰프,홀리리프 체리,5,530,780,,,5
