skill,연습 → F,F → E,E → D,D → C,C → B,B → A,A → 9
벌목,2SP,3SP,6SP,10SP,12SP,14SP,45SP + 수련서 3장
채광,2SP,3SP,6SP,10SP,12SP,14SP,45SP + 수련서 3장
낚시,2SP,3SP,6SP,10SP,12SP,15SP,45SP + 수련서 3장
보물찾기,2SP,4SP,6SP,9SP,12SP,15SP,-
채집,2SP,3SP,6SP,10SP,-,-,-
택배,2SP,4SP,6SP,9SP,12SP,15SP,45SP + 수련서 3장
차량 정비,2SP,4SP,6SP,10SP,12SP,15SP,-
절도,4SP,8SP,10SP,12SP,-,-,-
목재 가공,5SP,5SP,7SP,10SP,-,-,-
제련,5SP,5SP,7SP,10SP,-,-,-
제작,5SP,10SP,15SP,20SP,-,-,-
요리,5SP,5SP,7SP,10SP,15SP,25SP,-
감정,4SP,8SP,12SP,20SP,-,-,-
전문가 치료(EMS),5SP,10SP,15SP,15SP,-,-,-
몸 수색(경찰),2SP,3SP,5SP,8SP,-,-,-
전력질주,5SP,10SP,15SP,20SP,-,-,-
체력,2SP,5SP,10SP,15SP,20SP,26SP,-
컴뱃롤,2SP,4SP,6SP,8SP,10SP,12SP,-
돌진,4SP,6SP,8SP,10SP,12SP,14SP,50SP + 수련서 5장
운전,10SP,15SP,20SP,현재 없음,현재 없음,현재 없음,-
작곡,2SP,3SP,6SP,10SP,-,-,-
악기연주,2SP,4SP,6SP,8SP,10SP,12SP,15SP
피스톨 마스터리,5SP,8SP,12SP,15SP,-,-,-
SMG 마스터리,5SP,8SP,12SP,15SP,-,-,-
