id,map_name,image,description,note,updated_at,coord
map_001,남부항구,map_001.png,교전 중점내용,-,2026-05-04,10100
map_002,남부 델페로 해변,map_002.png,-,-,2026-05-04,8002
map_003,남부 가스공장,map_003.png,-,-,2026-05-04,9199
map_004,남부 공장지대,map_004.png,-,-,2026-05-04,9386
map_005,도심지 공사장,map_005.png,-,-,2026-05-04,8162
map_006,도심 촬영지,map_006.png,-,-,2026-05-04,7256
map_007,코르츠센터,map_007.png,-,-,2026-05-04,6000
map_008,바인우드 공사장,map_008.png,-,-,2026-05-04,7280
map_009,라 푸엔테 블랑카,map_009.png,-,-,2026-05-04,5024
map_010,중부 교도소,map_010.png,-,-,2026-05-04,4000
map_011,중부 휴메인 연구소,map_011.png,-,-,2026-05-04,2060
map_012,중부 파머 스테이션,map_012.png,-,-,2026-05-04,3062
map_013,중부 고철처리장,map_013.png,-,-,2026-05-04,3048
map_014,중부 하모니 구역,map_014.png,-,-,2026-05-04,4014
map_015,중부 스탭시티,map_015.png,-,-,2026-05-04,3034
map_016,칠리야드 야생캠프,map_016.png,-,-,2026-05-04,1085
map_017,페리코,map_017.png,-,-,2026-05-05,????
