member_id,nickname,total_kills,total_deaths,kd,last_image_url,last_message_id,updated_at,discord_user_id
,영포티,375,590,0.64,https://cdn.discordapp.com/attachments/1511622029755809822/1541082957849174077/0C64F04A-CBC5-4FD6-A538-29CEA7269C42.png?ex=6a8c4cd9&is=6a8afb59&hm=dfadfbd65a3d45fc31744c72cafcde20c067cca88a2520d992f644c085cf8f68&,1541082958104891393,2026-08-23 22:53:33,533679079388610560
,조창봉,1229,880,1.40,https://cdn.discordapp.com/attachments/1511622029755809822/1541084297853669426/11234.png?ex=6a8c4e18&is=6a8afc98&hm=10e47464de1f09d50569f4c72447d3260c212073f39361733d10b122d570990a&,1541084298247929956,2026-08-23 22:58:51,338900767488606211
,구만집,896,406,2.21,https://cdn.discordapp.com/attachments/1511622029755809822/1541091209236193360/999999999999.png?ex=6a8c5488&is=6a8b0308&hm=0f0f1670db9d4cb5850d0fdadbcb84adedda211a2f5ce59d7bab2d07bd0a1dcf&,1541091209588641823,2026-08-23 23:26:20,386043747227402245
,양파,1284,1136,1.13,https://cdn.discordapp.com/attachments/1511622029755809822/1534558943173672970/image.png?ex=6a7490e2&is=6a733f62&hm=3539d4d2683d27e05fe46fdcd6b6ad2e2d8ab019bcbbaf8d45f1df11bc795858&,1534558943467143321,2026-08-05 22:49:27,1256231097499516989
,화윤,236,600,0.39,https://cdn.discordapp.com/attachments/1511622029755809822/1541082129767862352/image.png?ex=6a8c4c13&is=6a8afa93&hm=f4ff498998a0322b2b10af29b645c9ea58bccbdd84d4c19ee6d7b44dda430a37&,1541082130157936744,2026-08-23 22:50:16,515752022864035850
,만석침,1785,932,1.92,https://cdn.discordapp.com/attachments/1511622029755809822/1541083008650453032/2026-08-23_225332.png?ex=6a8c4ce5&is=6a8afb65&hm=8993a548173f5a6ef4d1adada386c24189dde598f84492406772c282e5e3dc66&,1541083008617021502,2026-08-23 22:53:45,379225684242989058
,백민훈,1510,1081,1.40,https://cdn.discordapp.com/attachments/1511622029755809822/1540975482818928651/image.png?ex=6a8be8c1&is=6a8a9741&hm=09dc7c77cbd5de0f341b0c2f835602bb5b724ee4e1e61032a199383ccf7909a5&,1540975483297075230,2026-08-23 15:46:30,348387167245959180
,형석,444,302,1.47,https://cdn.discordapp.com/attachments/1511622029755809822/1541082627899924601/image.png?ex=6a8c4c8a&is=6a8afb0a&hm=a8d15e9dcde60ce3efe2b4a64f54459922535f82c30899c049703862e51b539d&,1541082628248305834,2026-08-23 22:52:14,275907220032716800
,김안녕*,85,434,0.20,https://cdn.discordapp.com/attachments/1511622029755809822/1540639981935271976/image.png?ex=6a8ab04b&is=6a895ecb&hm=2a6c9db043b3dd2eab974f231331daf20ec70829d00f4854893a6c0663a4e8b9&,1540639981968560209,2026-08-22 17:33:18,1430242889832857631
,샹크스,521,860,0.61,https://cdn.discordapp.com/attachments/1511622029755809822/1541083020600156180/image.png?ex=6a8c4ce8&is=6a8afb68&hm=4c93f59ec26f22b09e8c3fb91a8ce525ab7bdb972dc04aa4cfbb1603b6b53ded&,1541083020919054367,2026-08-23 22:53:47,411443825869848577
,ෆ야미ෆ,472,837,0.56,https://cdn.discordapp.com/attachments/1511622029755809822/1539715288285712546/image.png?ex=6a87531b&is=6a86019b&hm=d0a5f85c3b84845aee8169ad178dc7f2bc6e957d23e61bf6145706d19348111e&,1539715288713666570,2026-08-20 04:18:57,483558977431666689
,서팔광,255,353,0.72,https://cdn.discordapp.com/attachments/1511622029755809822/1539630642885689447/image.png?ex=6a870446&is=6a85b2c6&hm=36b22351f64aa9582a0ef5e94ca7e0305ee6edcaee3e109faaa80e83dea68164&,1539630643330158683,2026-08-19 22:42:44,423122260669366283
